     R         lat       lng     Depth    SMdepth
   49.12868  -28.7039   14.4953  225.0074    0.0000
   49.22915  -28.7043   14.4943  225.4905    0.0000
   49.32962  -28.7047   14.4934  225.9975    0.0000
   49.43008  -28.7051   14.4925  226.5292    0.0000
   49.53055  -28.7055   14.4916  227.2325    0.0000
   49.63102  -28.7058   14.4906  228.8080    0.0000
   49.73149  -28.7062   14.4897  230.4074    0.0000
   49.83195  -28.7066   14.4888  232.0322    0.0000
   49.93242  -28.7070   14.4878  233.6793    0.0000
   50.03289  -28.7074   14.4869  235.3498    0.0000
   50.13336  -28.7078   14.4860  237.0460    0.0000
   50.23383  -28.7082   14.4851  238.7644    0.0000
   50.33429  -28.7086   14.4841  240.5066    0.0000
   50.43476  -28.7090   14.4832  242.2836    0.0000
   50.53523  -28.7094   14.4823  244.1270    0.0000
   50.63570  -28.7097   14.4814  245.9933    0.0000
   50.73616  -28.7101   14.4804  247.8842    0.0000
   50.83663  -28.7105   14.4795  249.8007    0.0000
   50.93710  -28.7109   14.4786  251.7393    0.0000
   51.03757  -28.7113   14.4776  253.7017    0.0000
   51.13803  -28.7117   14.4767  255.6897    0.0000
   51.23850  -28.7121   14.4758  257.6997    0.0000
   51.33897  -28.7125   14.4749  259.6412    0.0000
   51.43944  -28.7129   14.4739  261.1019    0.0000
   51.53991  -28.7133   14.4730  262.5555    0.0000
